State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
California,9/3/2016,"40,240",8/27/2016,"336,929","16,049,781",2.1
California,9/10/2016,"35,613",9/3/2016,"317,781","16,049,781",1.98
California,9/17/2016,"38,765",9/10/2016,"322,285","16,049,781",2.01
California,9/24/2016,"38,021",9/17/2016,"322,607","16,049,781",2.01
California,10/1/2016,"38,281",9/24/2016,"314,645","16,049,781",1.96
California,10/8/2016,"43,422",10/1/2016,"320,241","16,170,165",1.98
California,10/15/2016,"46,010",10/8/2016,"301,777","16,170,165",1.87
California,10/22/2016,"44,406",10/15/2016,"319,330","16,170,165",1.97
California,10/29/2016,"46,393",10/22/2016,"316,187","16,170,165",1.96
California,11/5/2016,"47,345",10/29/2016,"320,612","16,170,165",1.98
California,11/12/2016,"39,455",11/5/2016,"311,269","16,170,165",1.92
California,11/19/2016,"53,669",11/12/2016,"353,912","16,170,165",2.19
California,11/26/2016,"42,330",11/19/2016,"295,675","16,170,165",1.83
California,12/3/2016,"53,810",11/26/2016,"383,139","16,170,165",2.37
California,12/10/2016,"50,637",12/3/2016,"366,490","16,170,165",2.27
California,12/17/2016,"50,254",12/10/2016,"377,184","16,170,165",2.33
California,12/24/2016,"52,811",12/17/2016,"364,428","16,170,165",2.25
California,12/31/2016,"37,975",12/24/2016,"349,709","16,170,165",2.16
California,1/7/2017,"43,975",12/31/2016,"377,379","16,170,165",2.33
California,1/14/2017,"60,959",1/7/2017,"419,806","16,288,780",2.58
California,1/21/2017,"61,914",1/14/2017,"382,714","16,288,780",2.35
California,1/28/2017,"53,825",1/21/2017,"429,836","16,288,780",2.64
California,2/4/2017,"45,464",1/28/2017,"407,599","16,288,780",2.5
California,2/11/2017,"49,677",2/4/2017,"422,195","16,288,780",2.59
California,2/18/2017,"48,928",2/11/2017,"431,201","16,288,780",2.65
California,2/25/2017,"43,328",2/18/2017,"400,795","16,288,780",2.46
California,3/4/2017,"45,208",2/25/2017,"435,797","16,288,780",2.68
California,3/11/2017,"45,766",3/4/2017,"434,160","16,288,780",2.67
California,3/18/2017,"41,002",3/11/2017,"400,481","16,288,780",2.46
California,3/25/2017,"42,605",3/18/2017,"416,245","16,288,780",2.56
California,4/1/2017,"35,367",3/25/2017,"393,445","16,288,780",2.42
California,4/8/2017,"43,753",4/1/2017,"401,748","16,386,501",2.45
California,4/15/2017,"47,139",4/8/2017,"381,526","16,386,501",2.33
California,4/22/2017,"45,118",4/15/2017,"384,361","16,386,501",2.35
California,4/29/2017,"43,906",4/22/2017,"381,890","16,386,501",2.33
California,5/6/2017,"43,076",4/29/2017,"364,455","16,386,501",2.22
California,5/13/2017,"37,564",5/6/2017,"341,907","16,386,501",2.09
California,5/20/2017,"38,020",5/13/2017,"351,230","16,386,501",2.14
California,5/27/2017,"42,833",5/20/2017,"344,586","16,386,501",2.1
California,6/3/2017,"34,520",5/27/2017,"306,664","16,386,501",1.87
California,6/10/2017,"40,929",6/3/2017,"335,391","16,386,501",2.05
California,6/17/2017,"42,543",6/10/2017,"328,443","16,386,501",2
California,6/24/2017,"46,687",6/17/2017,"327,958","16,386,501",2
California,7/1/2017,"46,015",6/24/2017,"349,417","16,386,501",2.13
California,7/8/2017,"37,798",7/1/2017,"305,196","16,471,222",1.85
California,7/15/2017,"44,660",7/8/2017,"350,317","16,471,222",2.13
California,7/22/2017,"44,966",7/15/2017,"341,278","16,471,222",2.07
California,7/29/2017,"42,475",7/22/2017,"340,754","16,471,222",2.07
California,8/5/2017,"39,523",7/29/2017,"346,962","16,471,222",2.11
California,8/12/2017,"37,072",8/5/2017,"330,965","16,471,222",2.01
California,8/19/2017,"37,843",8/12/2017,"337,727","16,471,222",2.05
California,8/26/2017,"38,819",8/19/2017,"329,595","16,471,222",2
California,9/2/2017,"37,777",8/26/2017,"327,903","16,471,222",1.99
California,9/9/2017,"30,402",9/2/2017,"297,261","16,471,222",1.8
California,9/16/2017,"39,899",9/9/2017,"313,472","16,471,222",1.9
California,9/23/2017,"39,371",9/16/2017,"310,142","16,471,222",1.88
California,9/30/2017,"37,388",9/23/2017,"306,277","16,471,222",1.86
California,10/7/2017,"41,888",9/30/2017,"300,200","16,471,222",1.82
California,10/14/2017,"40,977",10/7/2017,"283,405","16,550,811",1.71
California,10/21/2017,"41,871",10/14/2017,"296,407","16,550,811",1.79
California,10/28/2017,"43,283",10/21/2017,"302,351","16,550,811",1.83
California,11/4/2017,"43,653",10/28/2017,"312,899","16,550,811",1.89
California,11/11/2017,"44,894",11/4/2017,"284,449","16,550,811",1.72
California,11/18/2017,"50,994",11/11/2017,"324,625","16,550,811",1.96
California,11/25/2017,"35,936",11/18/2017,"254,163","16,550,811",1.54
California,12/2/2017,"54,267",11/25/2017,"380,313","16,550,811",2.3
California,12/9/2017,"47,792",12/2/2017,"334,048","16,550,811",2.02
California,12/16/2017,"47,721",12/9/2017,"369,439","16,550,811",2.23
California,12/23/2017,"45,239",12/16/2017,"348,593","16,550,811",2.11
California,12/30/2017,"35,363",12/23/2017,"348,237","16,550,811",2.1
California,1/6/2018,"47,290",12/30/2017,"347,280","16,550,811",2.1
California,1/13/2018,"58,962",1/6/2018,"383,701","16,632,810",2.31
California,1/20/2018,"51,749",1/13/2018,"339,287","16,632,810",2.04
California,1/27/2018,"49,062",1/20/2018,"398,473","16,632,810",2.4
California,2/3/2018,"43,687",1/27/2018,"380,202","16,632,810",2.29
California,2/10/2018,"41,154",2/3/2018,"405,765","16,632,810",2.44
California,2/17/2018,"40,230",2/10/2018,"371,984","16,632,810",2.24
California,2/24/2018,"31,072",2/17/2018,"392,058","16,632,810",2.36
California,3/3/2018,"42,718",2/24/2018,"368,738","16,632,810",2.22
California,3/10/2018,"44,552",3/3/2018,"398,557","16,632,810",2.4
California,3/17/2018,"42,127",3/10/2018,"377,516","16,632,810",2.27
California,3/24/2018,"39,173",3/17/2018,"399,410","16,632,810",2.4
California,3/31/2018,"39,130",3/24/2018,"362,286","16,632,810",2.18
California,4/7/2018,"41,072",3/31/2018,"387,730","16,632,810",2.33
California,4/14/2018,"45,026",4/7/2018,"361,512","16,710,351",2.16
California,4/21/2018,"40,673",4/14/2018,"386,990","16,710,351",2.32
California,4/28/2018,"39,940",4/21/2018,"337,467","16,710,351",2.02
California,5/5/2018,"39,065",4/28/2018,"370,182","16,710,351",2.22
California,5/12/2018,"39,382",5/5/2018,"323,744","16,710,351",1.94
California,5/19/2018,"41,544",5/12/2018,"335,046","16,710,351",2.01
California,5/26/2018,"37,545",5/19/2018,"326,317","16,710,351",1.95
California,6/2/2018,"35,607",5/26/2018,"310,451","16,710,351",1.86
California,6/9/2018,"40,198",6/2/2018,"305,840","16,710,351",1.83
California,6/16/2018,"41,417",6/9/2018,"309,011","16,710,351",1.85
California,6/23/2018,"46,837",6/16/2018,"301,549","16,710,351",1.8
California,6/30/2018,"40,433",6/23/2018,"316,331","16,710,351",1.89
California,7/7/2018,"35,046",6/30/2018,"292,678","16,710,351",1.75
California,7/14/2018,"41,391",7/7/2018,"321,230","16,799,074",1.91
California,7/21/2018,"39,610",7/14/2018,"321,417","16,799,074",1.91
California,7/28/2018,"36,564",7/21/2018,"308,049","16,799,074",1.83
California,8/4/2018,"37,852",7/28/2018,"324,126","16,799,074",1.93
California,8/11/2018,"36,609",8/4/2018,"310,455","16,799,074",1.85
California,8/18/2018,"37,154",8/11/2018,"319,025","16,799,074",1.9
California,8/25/2018,"35,722",8/18/2018,"303,782","16,799,074",1.81
California,9/1/2018,"35,413",8/25/2018,"305,384","16,799,074",1.82
California,9/8/2018,"31,348",9/1/2018,"275,418","16,799,074",1.64
California,9/15/2018,"33,418",9/8/2018,"287,158","16,799,074",1.71
California,9/22/2018,"34,363",9/15/2018,"282,235","16,799,074",1.68
California,9/29/2018,"33,403",9/22/2018,"282,559","16,799,074",1.68
California,10/6/2018,"38,015",9/29/2018,"274,676","16,799,074",1.64
California,10/13/2018,"40,612",10/6/2018,"268,204","16,900,653",1.59
California,10/20/2018,"39,783",10/13/2018,"270,349","16,900,653",1.6
California,10/27/2018,"38,096",10/20/2018,"281,013","16,900,653",1.66
California,11/3/2018,"40,888",10/27/2018,"276,927","16,900,653",1.64
California,11/10/2018,"45,094",11/3/2018,"286,543","16,900,653",1.7
California,11/17/2018,"38,233",11/10/2018,"271,293","16,900,653",1.61
California,11/24/2018,"33,988",11/17/2018,"258,905","16,900,653",1.53
California,12/1/2018,"55,049",11/24/2018,"313,468","16,900,653",1.85
California,12/8/2018,"47,395",12/1/2018,"325,163","16,900,653",1.92
California,12/15/2018,"47,515",12/8/2018,"327,460","16,900,653",1.94
California,12/22/2018,"48,469",12/15/2018,"336,011","16,900,653",1.99
California,12/29/2018,"38,362",12/22/2018,"310,725","16,900,653",1.84
California,1/5/2019,"38,536",12/29/2018,"348,968","16,900,653",2.06
California,1/12/2019,"53,519",1/5/2019,"366,000","16,987,900",2.15
California,1/19/2019,"48,844",1/12/2019,"371,261","16,987,900",2.19
California,1/26/2019,"56,886",1/19/2019,"388,607","16,987,900",2.29
California,2/2/2019,"48,904",1/26/2019,"363,358","16,987,900",2.14
California,2/9/2019,"44,850",2/2/2019,"371,696","16,987,900",2.19
California,2/16/2019,"43,516",2/9/2019,"360,835","16,987,900",2.12
California,2/23/2019,"34,449",2/16/2019,"386,100","16,987,900",2.27
California,3/2/2019,"41,085",2/23/2019,"380,331","16,987,900",2.24
California,3/9/2019,"40,896",3/2/2019,"402,138","16,987,900",2.37
California,3/16/2019,"41,128",3/9/2019,"372,306","16,987,900",2.19
California,3/23/2019,"39,832",3/16/2019,"384,846","16,987,900",2.27
California,3/30/2019,"38,528",3/23/2019,"368,658","16,987,900",2.17
California,4/6/2019,"36,227",3/30/2019,"373,823","16,987,900",2.2
California,4/13/2019,"39,429",4/6/2019,"347,023","17,063,245",2.03
California,4/20/2019,"43,900",4/13/2019,"361,762","17,063,245",2.12
California,4/27/2019,"40,312",4/20/2019,"333,180","17,063,245",1.95
California,5/4/2019,"38,392",4/27/2019,"342,461","17,063,245",2.01
California,5/11/2019,"39,618",5/4/2019,"330,763","17,063,245",1.94
California,5/18/2019,"37,428",5/11/2019,"344,735","17,063,245",2.02
California,5/25/2019,"38,275",5/18/2019,"319,156","17,063,245",1.87
California,6/1/2019,"34,781",5/25/2019,"317,598","17,063,245",1.86
California,6/8/2019,"41,288",6/1/2019,"317,108","17,063,245",1.86
California,6/15/2019,"38,753",6/8/2019,"300,412","17,063,245",1.76
California,6/22/2019,"44,396",6/15/2019,"306,005","17,063,245",1.79
California,6/29/2019,"42,404",6/22/2019,"300,575","17,063,245",1.76
California,7/6/2019,"35,194",6/29/2019,"307,450","17,063,245",1.8
California,7/13/2019,"39,061",7/6/2019,"301,444","17,144,715",1.76
California,7/20/2019,"39,341",7/13/2019,"306,388","17,144,715",1.79
California,7/27/2019,"38,438",7/20/2019,"311,686","17,144,715",1.82
California,8/3/2019,"36,041",7/27/2019,"305,372","17,144,715",1.78
California,8/10/2019,"41,404",8/3/2019,"329,057","17,144,715",1.92
California,8/17/2019,"35,430",8/10/2019,"294,646","17,144,715",1.72
California,8/24/2019,"34,596",8/17/2019,"307,762","17,144,715",1.8
California,8/31/2019,"34,358",8/24/2019,"290,655","17,144,715",1.7
California,9/7/2019,"30,771",8/31/2019,"269,570","17,144,715",1.57
California,9/14/2019,"34,650",9/7/2019,"285,564","17,144,715",1.67
California,9/21/2019,"35,161",9/14/2019,"279,176","17,144,715",1.63
California,9/28/2019,"33,226",9/21/2019,"277,881","17,144,715",1.62
California,10/5/2019,"33,326",9/28/2019,"276,630","17,144,715",1.61
California,10/12/2019,"40,182",10/5/2019,"260,397","17,203,829",1.51
California,10/19/2019,"39,191",10/12/2019,"258,717","17,203,829",1.5
California,10/26/2019,"41,081",10/19/2019,"281,060","17,203,829",1.63
California,11/2/2019,"39,332",10/26/2019,"267,628","17,203,829",1.56
California,11/9/2019,"45,816",11/2/2019,"284,199","17,203,829",1.65
California,11/16/2019,"40,749",11/9/2019,"274,354","17,203,829",1.59
California,11/23/2019,"49,133",11/16/2019,"291,706","17,203,829",1.7
California,11/30/2019,"36,457",11/23/2019,"259,563","17,203,829",1.51
California,12/7/2019,"48,434",11/30/2019,"327,504","17,203,829",1.9
California,12/14/2019,"47,521",12/7/2019,"321,564","17,203,829",1.87
California,12/21/2019,"49,943",12/14/2019,"325,387","17,203,829",1.89
California,12/28/2019,"34,301",12/21/2019,"300,551","17,203,829",1.75
California,1/4/2020,"36,720",12/28/2019,"359,606","17,203,829",2.09
California,1/11/2020,"51,993",1/4/2020,"356,376","17,265,039",2.06
California,1/18/2020,"64,858",1/11/2020,"376,947","17,265,039",2.18
California,1/25/2020,"45,596",1/18/2020,"336,269","17,265,039",1.95
California,2/1/2020,"43,458",1/25/2020,"388,341","17,265,039",2.25
California,2/8/2020,"40,392",2/1/2020,"359,156","17,265,039",2.08
California,2/15/2020,"43,445",2/8/2020,"375,305","17,265,039",2.17
California,2/22/2020,"34,979",2/15/2020,"349,252","17,265,039",2.02
California,2/29/2020,"41,678",2/22/2020,"369,988","17,265,039",2.14
California,3/7/2020,"43,385",2/29/2020,"378,864","17,265,039",2.19
California,3/14/2020,"57,606",3/7/2020,"351,344","17,265,039",2.04
California,3/21/2020,"186,333",3/14/2020,"421,912","17,265,039",2.44
California,3/28/2020,"1,058,325",3/21/2020,"400,565","17,265,039",2.32
California,4/4/2020,"918,814",3/28/2020,"1,076,761","17,265,039",6.24
California,4/11/2020,"655,472",4/4/2020,"1,429,954","17,330,010",8.25
California,4/18/2020,"528,360",4/11/2020,"2,422,458","17,330,010",13.98
California,4/25/2020,"325,343",4/18/2020,"1,887,575","17,330,010",10.89
California,5/2/2020,"316,257",4/25/2020,"4,808,361","17,330,010",27.75
California,5/9/2020,"212,667",5/2/2020,"2,850,204","17,330,010",16.45
California,5/16/2020,"244,431",5/9/2020,"3,565,153","17,330,010",20.57
California,5/23/2020,"203,262",5/16/2020,"2,155,310","17,330,010",12.44
California,5/30/2020,"228,634",5/23/2020,"2,752,401","17,330,010",15.88
California,6/6/2020,"255,836",5/30/2020,"2,812,484","17,330,010",16.23
California,6/13/2020,"241,424",6/6/2020,"3,001,413","17,330,010",17.32
California,6/20/2020,"284,494",6/13/2020,"2,779,425","17,330,010",16.04
California,6/27/2020,"277,362",6/20/2020,"2,901,601","17,330,010",16.74
California,7/4/2020,"264,791",6/27/2020,"2,758,474","17,330,010",15.92
California,7/11/2020,"284,914",7/4/2020,"2,946,807","17,396,834",16.94
California,7/18/2020,"289,594",7/11/2020,"2,704,904","17,396,834",15.55
California,7/25/2020,"244,653",7/18/2020,"3,140,619","17,396,834",18.05
California,8/1/2020,"222,043",7/25/2020,"2,789,482","17,396,834",16.03
California,8/8/2020,"202,509",8/1/2020,"2,961,188","17,396,834",17.02
Florida,1/3/2015,"13,599",12/27/2014,"99,478","7,434,995",1.34
Florida,1/10/2015,"15,003",1/3/2015,"72,580","7,496,093",0.97
Florida,1/17/2015,"12,730",1/10/2015,"72,769","7,496,093",0.97
Florida,1/24/2015,"10,768",1/17/2015,"72,948","7,496,093",0.97
Florida,1/31/2015,"10,515",1/24/2015,"71,847","7,496,093",0.96
Florida,2/7/2015,"10,569",1/31/2015,"70,826","7,496,093",0.94
Florida,2/14/2015,"9,480",2/7/2015,"67,810","7,496,093",0.9
Florida,2/21/2015,"9,363",2/14/2015,"68,553","7,496,093",0.91
Florida,2/28/2015,"8,898",2/21/2015,"58,189","7,496,093",0.78
Florida,3/7/2015,"10,491",2/28/2015,"65,577","7,496,093",0.87
Florida,3/14/2015,"8,832",3/7/2015,"62,155","7,496,093",0.83
Florida,3/21/2015,"8,982",3/14/2015,"64,503","7,496,093",0.86
Florida,3/28/2015,"8,662",3/21/2015,"62,080","7,496,093",0.83
Florida,4/4/2015,"9,269",3/28/2015,"60,729","7,496,093",0.81
Florida,4/11/2015,"10,374",4/4/2015,"59,864","7,557,053",0.79
Florida,4/18/2015,"9,294",4/11/2015,"61,534","7,557,053",0.81
Florida,4/25/2015,"9,141",4/18/2015,"60,327","7,557,053",0.8
Florida,5/2/2015,"8,416",4/25/2015,"62,051","7,557,053",0.82
Florida,5/9/2015,"9,503",5/2/2015,"60,083","7,557,053",0.8
Florida,5/16/2015,"9,216",5/9/2015,"59,035","7,557,053",0.78
Florida,5/23/2015,"9,712",5/16/2015,"59,967","7,557,053",0.79
Florida,5/30/2015,"8,480",5/23/2015,"59,988","7,557,053",0.79
Florida,6/6/2015,"10,982",5/30/2015,"60,199","7,557,053",0.8
Florida,6/13/2015,"12,045",6/6/2015,"60,725","7,557,053",0.8
Florida,6/20/2015,"11,357",6/13/2015,"64,414","7,557,053",0.85
Florida,6/27/2015,"9,731",6/20/2015,"66,289","7,557,053",0.88
Florida,7/4/2015,"10,824",6/27/2015,"58,527","7,557,053",0.77
Florida,7/11/2015,"12,746",7/4/2015,"67,736","7,623,691",0.89
Florida,7/18/2015,"10,818",7/11/2015,"68,420","7,623,691",0.9
Florida,7/25/2015,"10,010",7/18/2015,"71,573","7,623,691",0.94
Florida,8/1/2015,"10,350",7/25/2015,"71,836","7,623,691",0.94
Florida,8/8/2015,"10,168",8/1/2015,"72,307","7,623,691",0.95
Florida,8/15/2015,"9,222",8/8/2015,"70,237","7,623,691",0.92
Florida,8/22/2015,"9,192",8/15/2015,"71,162","7,623,691",0.93
Florida,8/29/2015,"8,712",8/22/2015,"67,085","7,623,691",0.88
Florida,9/5/2015,"8,569",8/29/2015,"65,968","7,623,691",0.87
Florida,9/12/2015,"7,252",9/5/2015,"62,625","7,623,691",0.82
Florida,9/19/2015,"7,817",9/12/2015,"66,338","7,623,691",0.87
Florida,9/26/2015,"7,712",9/19/2015,"61,957","7,623,691",0.81
Florida,10/3/2015,"8,209",9/26/2015,"63,176","7,623,691",0.83
Florida,10/10/2015,"9,649",10/3/2015,"58,219","7,693,156",0.76
Florida,10/17/2015,"7,848",10/10/2015,"58,477","7,693,156",0.76
Florida,10/24/2015,"8,053",10/17/2015,"58,107","7,693,156",0.76
Florida,10/31/2015,"7,820",10/24/2015,"56,522","7,693,156",0.73
Florida,11/7/2015,"8,683",10/31/2015,"55,741","7,693,156",0.72
Florida,11/14/2015,"7,670",11/7/2015,"52,238","7,693,156",0.68
Florida,11/21/2015,"8,284",11/14/2015,"55,641","7,693,156",0.72
Florida,11/28/2015,"5,386",11/21/2015,"45,738","7,693,156",0.59
Florida,12/5/2015,"8,233",11/28/2015,"58,346","7,693,156",0.76
Florida,12/12/2015,"7,895",12/5/2015,"48,525","7,693,156",0.63
Florida,12/19/2015,"8,341",12/12/2015,"53,899","7,693,156",0.7
Florida,12/26/2015,"5,867",12/19/2015,"44,872","7,693,156",0.58
Florida,1/2/2016,"6,816",12/26/2015,"54,140","7,693,156",0.7
Florida,1/9/2016,"11,056",1/2/2016,"49,557","7,761,275",0.64
Florida,1/16/2016,"9,775",1/9/2016,"51,100","7,761,275",0.66
Florida,1/23/2016,"8,225",1/16/2016,"51,767","7,761,275",0.67
Florida,1/30/2016,"8,069",1/23/2016,"52,301","7,761,275",0.67
Florida,2/6/2016,"8,488",1/30/2016,"52,128","7,761,275",0.67
Florida,2/13/2016,"7,062",2/6/2016,"49,671","7,761,275",0.64
Florida,2/20/2016,"7,318",2/13/2016,"51,001","7,761,275",0.66
Florida,2/27/2016,"6,923",2/20/2016,"49,134","7,761,275",0.63
Florida,3/5/2016,"7,376",2/27/2016,"49,270","7,761,275",0.63
Florida,3/12/2016,"6,524",3/5/2016,"47,624","7,761,275",0.61
Florida,3/19/2016,"6,866",3/12/2016,"48,415","7,761,275",0.62
Florida,3/26/2016,"6,951",3/19/2016,"46,017","7,761,275",0.59
Florida,4/2/2016,"7,235",3/26/2016,"48,089","7,761,275",0.62
Florida,4/9/2016,"8,729",4/2/2016,"45,623","7,830,128",0.58
Florida,4/16/2016,"7,376",4/9/2016,"47,008","7,830,128",0.6
Florida,4/23/2016,"7,312",4/16/2016,"47,643","7,830,128",0.61
Florida,4/30/2016,"7,360",4/23/2016,"45,817","7,830,128",0.59
Florida,5/7/2016,"8,263",4/30/2016,"45,454","7,830,128",0.58
Florida,5/14/2016,"8,049",5/7/2016,"45,140","7,830,128",0.58
Florida,5/21/2016,"8,071",5/14/2016,"46,839","7,830,128",0.6
Florida,5/28/2016,"8,315",5/21/2016,"46,066","7,830,128",0.59
Florida,6/4/2016,"8,259",5/28/2016,"47,508","7,830,128",0.61
Florida,6/11/2016,"10,028",6/4/2016,"48,376","7,830,128",0.62
Florida,6/18/2016,"10,155",6/11/2016,"49,952","7,830,128",0.64
Florida,6/25/2016,"9,048",6/18/2016,"52,223","7,830,128",0.67
Florida,7/2/2016,"8,914",6/25/2016,"53,758","7,830,128",0.69
Florida,7/9/2016,"10,314",7/2/2016,"52,398","7,905,730",0.66
Florida,7/16/2016,"9,365",7/9/2016,"54,844","7,905,730",0.69
Florida,7/23/2016,"8,482",7/16/2016,"57,669","7,905,730",0.73
Florida,7/30/2016,"8,224",7/23/2016,"57,186","7,905,730",0.72
Florida,8/6/2016,"8,542",7/30/2016,"58,082","7,905,730",0.73
Florida,8/13/2016,"8,082",8/6/2016,"57,087","7,905,730",0.72
Florida,8/20/2016,"8,047",8/13/2016,"58,267","7,905,730",0.74
Florida,8/27/2016,"7,823",8/20/2016,"54,943","7,905,730",0.69
